date,price,traffic
2022-01-01,100.0,8417.0
2022-01-02,100.0,11845.0
2022-01-03,100.0,10669.0
2022-01-04,100.0,10759.0
2022-01-05,100.0,10705.0
2022-01-06,100.0,10904.0
2022-01-07,100.0,9521.0
2022-01-08,100.0,8240.0
2022-01-09,100.0,11785.0
2022-01-10,100.0,10654.0
2022-01-11,100.0,10681.0
2022-01-12,100.0,10724.0
2022-01-13,100.0,10869.0
2022-01-14,100.0,9362.0
2022-01-15,100.0,8412.0
2022-01-16,100.0,11951.0
2022-01-17,100.0,10736.0
2022-01-18,100.0,10713.0
2022-01-19,100.0,10756.0
2022-01-20,100.0,10878.0
2022-01-21,100.0,9518.0
2022-01-22,100.0,8390.0
2022-01-23,100.0,11850.0
2022-01-24,100.0,10712.0
2022-01-25,100.0,10560.0
2022-01-26,100.0,10921.0
2022-01-27,100.0,10827.0
2022-01-28,100.0,9529.0
2022-01-29,100.0,8399.0
2022-01-30,100.0,11920.0
2022-01-31,100.0,10801.0
2022-02-01,100.0,10687.0
2022-02-02,100.0,10834.0
2022-02-03,100.0,10779.0
2022-02-04,100.0,9374.0
2022-02-05,100.0,8426.0
2022-02-06,100.0,11894.0
2022-02-07,100.0,10843.0
2022-02-08,100.0,10712.0
2022-02-09,100.0,10934.0
2022-02-10,100.0,10907.0
2022-02-11,100.0,9490.0
2022-02-12,100.0,8302.0
2022-02-13,100.0,12050.0
2022-02-14,100.0,10901.0
2022-02-15,100.0,10714.0
2022-02-16,100.0,10909.0
2022-02-17,100.0,10861.0
2022-02-18,100.0,9558.0
2022-02-19,100.0,8438.0
2022-02-20,100.0,12011.0
2022-02-21,100.0,10830.0
2022-02-22,100.0,10605.0
2022-02-23,100.0,10819.0
2022-02-24,100.0,11027.0
2022-02-25,100.0,9459.0
2022-02-26,100.0,8311.0
2022-02-27,100.0,11956.0
2022-02-28,100.0,10823.0
2022-03-01,100.0,10827.0
2022-03-02,100.0,10886.0
2022-03-03,100.0,11009.0
2022-03-04,100.0,9415.0
2022-03-05,100.0,8272.0
2022-03-06,100.0,11897.0
2022-03-07,100.0,10814.0
2022-03-08,100.0,10614.0
2022-03-09,100.0,10761.0
2022-03-10,100.0,10852.0
